,Accuracy
statistical analysis,0.7555799075938869
VAE,0.8491877403335917
XGBoost binary,0.830948302671004
XGBoost multi-label,0.4757753612099732
LSTM binary,0.9894561735190021
LSTM multi-label,0.047619047619047616
